"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","getRequest","Default Suite","Wed Jul 23 15:18:14 IST 2025","passed","Wed Jul 23 15:18:14 IST 2025","com.testing.restassured.com.restassured.restfulbooker.tests.SampleTest2","RestAssuredProject","com.testing.restassured.com.restassured.restfulbooker.tests.SampleTest2","getRequest"
"","1","getRequest2","Default Suite","Wed Jul 23 15:18:14 IST 2025","passed","Wed Jul 23 15:18:14 IST 2025","com.testing.restassured.com.restassured.restfulbooker.tests.SampleTest","RestAssuredProject","com.testing.restassured.com.restassured.restfulbooker.tests.SampleTest","getRequest2"
"","0","getRequest2","Default Suite","Wed Jul 23 15:18:14 IST 2025","passed","Wed Jul 23 15:18:14 IST 2025","com.testing.restassured.com.restassured.restfulbooker.tests.SampleTest2","RestAssuredProject","com.testing.restassured.com.restassured.restfulbooker.tests.SampleTest2","getRequest2"
"","11","getRequest","Default Suite","Wed Jul 23 15:18:14 IST 2025","passed","Wed Jul 23 15:18:14 IST 2025","com.testing.restassured.com.restassured.restfulbooker.tests.SampleTest","RestAssuredProject","com.testing.restassured.com.restassured.restfulbooker.tests.SampleTest","getRequest"
